Job_ID,Link of the Job ,Company,Role,Experience,PythonRequired,LinuxRequired,NetworkingRequired,AWSRequired,AzureRequired,DockerRequired,KubernetesRequired,TerraformRequired,CyberSecurityRequired,CommunicationRequired,SalaryLPA
136,https://in.indeed.com/jobs?q=Cybersecurity+Analyst+Entry+Level&sc=0kf%3Aattr%287EQCZ%29%3B&from=searchOnDesktopSerp&start=20&vjk=6ccb10e7c78fa4c9,Accenture,SOC Analyst,Fresher,9,8,9,9,5,6,7,7,6,6,9.07
137,https://in.indeed.com/jobs?q=Information+Security+Analyst+Fresher&l=&from=searchOnHP&vjk=006d11ad7e5fe3b0,Infosys,Cloud Security Engineer,Fresher,6,6,6,8,8,8,10,9,9,6,8.58
138,https://www.linkedin.com/jobs/view/4407216690/,MarketVector Indexes,Junior DevOps Engineer,Entry level ,7,9,8,5,9,6,6,6,4,9, NA
139,https://www.linkedin.com/jobs/view/4427487604/,Noventiq,Cloud Engineer,NA,3,6,8,10,1,1,1,1,1,1,NA
140,https://www.linkedin.com/jobs/view/4409276608/,NTT DATA,Security Engineer (L1) ,Entry level ,1,3,8,1,1,1,1,1,10,9,NA
141,https://in.indeed.com/jobs?q=Cloud+Engineer+Fresher&l=&sc=0kf%3Aattr%287EQCZ%29%3B&from=searchOnDesktopSerp&vjk=f26955f6c34bbad7,Deloitte,Associate Analyst | Cloud Infrastructure | Engineering | Hybrid Cloud Engineering,Fresher,1,2,3,1,1,1,1,1,1,9,NA
142,https://in.indeed.com/jobs?q=Cloud+Engineer+Fresher&l=&sc=0kf%3Aattr%287EQCZ%29%3B&from=searchOnDesktopSerp&vjk=b093362583f7ed2d,SMARTHMS & Solutions Pvt Ltd,Junior Linux System Administrator,0-2 Years,1,10,8,4,4,1,1,1,8,5,5
143,https://in.indeed.com/jobs?q=Cloud+Engineer+Fresher&l=&sc=0kf%3Aattr%287EQCZ%29%3B&from=searchOnDesktopSerp&vjk=0a92448bc27a16b7,Countless Services Private Limited,DevOps Engineer,Fresher,6,8,6,7,6,6,6,5,4,7,5.9
144,https://in.indeed.com/viewjob?jk=b6ccf8281c02608e&tk=1jt6mba3chboj800&from=serp&vjs=3,Syslint Technologies,Linux Engineers,Fresher,1,10,3,1,1,1,1,1,2,8,NA
145,https://in.indeed.com/jobs?q=Cloud+Engineer+Fresher&l=&sc=0kf%3Aattr%287EQCZ%29%3B&from=searchOnDesktopSerp&vjk=a352b0f59e502cf8,Axcess Tech Systems,Cloud Engineer,Fresher,8,6,6,9,1,1,1,1,2,7,3.25
146,https://in.indeed.com/viewjob?cmp=Frequent-Research-Fieldwork-Solutions-Pvt.-Ltd.&t=Devops+Engineer&jk=42875d84f215e3f9&xpse=SoBl67I3hmn-H5TN0R0LbzkdCdPP&xfps=6c08ba59-6f09-41d9-bb30-a19aad8c8c1a&xkcb=SoD667M3hmnZ-cTDJp0DbzkdCdPP&vjs=3,Frequent Research Fieldwork Solutions Pvt. Ltd.,DevOps Engineer,Fresher,2,9,8,4,1,9,1,1,6,6,3.4
147,https://in.indeed.com/jobs?q=Cloud+Engineer+Fresher&sc=0kf%3Aattr%287EQCZ%29%3B&from=searchOnDesktopSerp&start=10&vjk=50bb938304468e32,Bursys Infotech India Pvt Ltd,DevOps Engineer,Fresher,4,7,5,5,5,4,1,1,3,6,3.5
148,https://www.linkedin.com/jobs/view/4438303354/,Neev,Network Security L1,Fresher / Internship Experience Preferred,1,4,10,1,1,1,1,1,10,8,0.5-4
149,https://www.linkedin.com/jobs/view/4409292070/,"NTT DATA, Inc.",Security Managed Services Engineer (L1),Entry level ,4,5,8,1,1,1,1,1,10,8,NA
150,https://www.linkedin.com/jobs/view/4413028765/,Olive Crypto Systems Pvt. Ltd.,ASE I (IT Operations L1),NA,7,10,7,1,1,1,1,1,7,7,NA
151,https://www.linkedin.com/jobs/view/4330972248/,Medpace,SOC Analyst,Fresher,5,2,6,1,5,1,1,1,10,8,NA
152,https://www.linkedin.com/jobs/view/4409281477/,"NTT DATA, Inc.",EDR Analyst - L1,Entry Level ,1,3,7,1,1,1,1,1,8,9,NA
153,https://www.linkedin.com/jobs/view/4424701008/,1Kosmos,Support Engineer - Fresher,Fresher,1,2,7,1,1,1,1,1,8,9,NA
154,https://in.indeed.com/viewjob?jk=f2a00107562c3f26&tk=1jt87t7h3hc5i800&from=serp&vjs=3,Ontash,Junior System Admin (DevOps),Fresher,1,10,8,8,8,9,1,1,5,5,NA
155,https://www.linkedin.com/posts/anushkasingh-aviation_hiring-serviceengineer-linux-activity-7480598244712996864-rdaT?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFzbsQYBc81s57VcJNsJTRfnE5hoOr8ujIA,Ally Wiredsoft Solutions,Service Engineer,Fresher – 3 Years,6,10,6,1,1,1,1,1,2,6,5.4
156,https://www.linkedin.com/posts/anushkasingh-aviation_hiring-cybersecurity-cybersecurityjobs-activity-7480163712570511361-QIT_?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFzbsQYBc81s57VcJNsJTRfnE5hoOr8ujIA,AllyWired,Specialized Cyber Professional – Level 1,0–1 Year,5,7,9,1,1,1,1,1,10,8,NA
157,https://www.linkedin.com/posts/anushkasingh-aviation_hiring-immediatejoiners-itjobs-activity-7475640898756726784-Fbo7?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFzbsQYBc81s57VcJNsJTRfnE5hoOr8ujIA,Ally Wiredsoft Solutions,Security Operations Analyst,0–3 Years,2,9,6,1,1,1,1,1,10,7,3.9
158,https://www.linkedin.com/posts/anushkasingh-aviation_hiring-immediatejoiners-itjobs-activity-7475640898756726784-Fbo7?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFzbsQYBc81s57VcJNsJTRfnE5hoOr8ujIA,Ally Wiredsoft Solutions,Senior Technical Support Engineer – Cloud Support Desk,0–3 Years,1,7,7,8,8,2,2,1,4,8,3.3
159,https://www.linkedin.com/posts/anushkasingh-aviation_hiring-immediatejoiners-itjobs-activity-7475640898756726784-Fbo7?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFzbsQYBc81s57VcJNsJTRfnE5hoOr8ujIA,Ally Wiredsoft Solutions,System Administrator,0–3 Years,1,8,8,5,5,1,1,1,5,6,3.9
160,https://www.linkedin.com/posts/anushkasingh-aviation_hiring-immediatejoiners-itjobs-activity-7475640898756726784-Fbo7?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFzbsQYBc81s57VcJNsJTRfnE5hoOr8ujIA,Ally Wiredsoft Solutions,Backup Administrator,0–3 Years,1,6,5,3,3,1,1,1,4,5,4.8
161,https://www.linkedin.com/posts/anushkasingh-aviation_cybersecurity-socanalyst-securityanalyst-activity-7474415172913266688-oR5y?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFzbsQYBc81s57VcJNsJTRfnE5hoOr8ujIA,Ally Wired soft Solutions,Cyber Security Analyst (L1),Fresher,1,7,9,1,1,1,1,1,10,7,7.2
162,https://www.linkedin.com/posts/anushkasingh-aviation_hiring-networkengineer-serverengineer-activity-7474413043787984896--iQb?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFzbsQYBc81s57VcJNsJTRfnE5hoOr8ujIA,Ally Wired Soft Solutions,Network & Server Engineer (L1),Fresher,1,7,10,1,1,1,1,1,5,6,7.2
163,https://www.linkedin.com/posts/anushkasingh-aviation_hiring-devsecops-fresherjobs-activity-7474412126917468160-cL3h?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFzbsQYBc81s57VcJNsJTRfnE5hoOr8ujIA,Ally Wired Soft Solutions,DevSecOps Engineer (L1),Fresher,5,8,5,2,1,8,6,1,8,6,7.2
164,https://www.linkedin.com/posts/komal-prajapati01_apply-interested-share-7481378094734389248-vrfY/?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFzbsQYBc81s57VcJNsJTRfnE5hoOr8ujIA,Infinite Computer Solutions,Associate SOC Analyst,Fresher,2,5,8,1,1,1,1,1,10,7,3.5
165,https://in.indeed.com/jobs?q=Cybersecurity+Analyst+Entry+Level&l=&from=searchOnDesktopSerp&vjk=af6342e7b35f24eb,Aapstech,Cybersecurity Analyst (Entry-Level),Fresher,6,5,9,1,1,1,1,1,10,7,2.9-5.8
166,https://in.indeed.com/jobs?q=Cybersecurity+Analyst+Entry+Level&sc=0kf%3Aattr%287EQCZ%29%3B&from=searchOnDesktopSerp&start=10&vjk=07e689de2f8e4ea4,SecPod,Security Research Engineer,Fresher,9,8,8,1,1,1,1,1,10,7,NA
167,https://in.indeed.com/jobs?q=Cybersecurity+Analyst+Entry+Level&sc=0kf%3Aattr%287EQCZ%29%3B&from=searchOnDesktopSerp&start=20&vjk=6ccb10e7c78fa4c9,Altered Security,Security Engineer (L1) ,0–2 Years,2,4,6,1,1,1,1,1,10,7,NA
168,https://in.indeed.com/jobs?q=Information+Security+Analyst+Fresher&l=&from=searchOnHP&vjk=006d11ad7e5fe3b0,Accveil Solutions Pvt. Ltd.,Cyber Security Analyst – SIEM (Security Information and Event Management),0–3 Years,2,6,8,2,4,1,1,1,10,7,3.0-5.4
169,https://share.google/RraL2m1m81Y6IaELz,3infotechsolution,Cyber Security Associate,Fresher,9,2,9,1,1,1,1,1,10,7,5-9
170,https://bebee.com/in/jobs/cyber-security-analyst-fresher-nettech-india-thane-district-maharashtra--t7xk-757495169,Nettech India,Cyber Security Analyst,Fresher,4,9,6,3,3,1,1,1,10,8,1.8–3.6
171,https://www.naukri.com/job-listings-associate-soc-analyst-fresher-infinite-bengaluru-0-to-0-years-060726017883?src=jobsearchDesk&sid=17838673035055003&xp=3&px=1&nignbevent_src=jobsearchDeskGNB,Infinit,Associate SOC Analyst,Fresher,4,6,8,1,2,1,1,1,10,7,3.25–3.6
172,https://www.naukri.com/job-listings-cyber-security-analyst-fresher-essen-vision-software-pvt-ltd-mumbai-0-to-2-years-140526503562?src=jobsearchDesk&sid=17838673035055003&xp=12&px=1&nignbevent_src=jobsearchDeskGNB,Essen Vision Software,Cyber Security Analyst,0-1 years,1,3,7,1,1,1,1,1,10,9,NA
173,https://www.naukri.com/job-listings-cyber-security-expert-zucol-services-pune-0-to-1-years-080726011289?src=jobsearchDesk&sid=17838673035055003&xp=15&px=1&nignbevent_src=jobsearchDeskGNB,Zucol Services,Cyber Security Expert,0-1 years,2,4,8,2,1,1,1,1,10,7,1.25–2.0
174,https://www.naukri.com/job-listings-associate-devops-engineer-ai-cloud-operations-bacp-crew-mohali-0-to-3-years-120626011344?src=simjobsjd_rt,Bacp Crew,Associate DevOps Engineer (AI & Cloud Operations),0-1 years,6,8,7,7,7,2,2,1,4,7,1.75–3.0
175,https://www.naukri.com/job-listings-cyber-security-analyst-codinglimits-nellore-hyderabad-chennai-bengaluru-0-to-1-years-160626008057?src=jobsearchDesk&sid=17838673035055003_1&xp=14&px=2&nignbevent_src=jobsearchDeskGNB,Codinglimits Nellore,Cyber Security Analyst,0-1 years,2,6,7,1,1,1,1,1,9,7,NA
176,https://www.naukri.com/job-listings-cyber-security-analyst-precise-testing-solution-noida-0-to-0-years-140526012101?src=jobsearchDesk&sid=17838713437532389&xp=1&px=1,Precise Testing Solution,Cyber Security Analyst,Fresher,1,7,5,1,1,1,1,1,10,4,NA
177,https://www.naukri.com/job-listings-cloud-customer-engineer-techgyan-mumbai-0-to-2-years-010920500417?src=cluster&sid=17838715512085427_1&xp=1&px=1,Techgyan,Cloud Customer Engineer,0-2 years,1,2,4,1,8,1,1,1,2,9,NA
178,https://www.naukri.com/job-listings-network-security-engineer-ti-steps-hyderabad-chennai-bengaluru-0-to-2-years-290825007602?src=simjobsjd_rt,NA,Network Security Engineer,Fresher,1,3,9,1,1,1,1,1,8,5,NA
179,https://www.naukri.com/job-listings-soc-analyst-eze-castle-integration-bengaluru-0-to-2-years-090726031738?src=simjobsjd_bottom,Eze Castle Integration (ECI),SOC Analyst,0-2 years,1,5,9,1,1,1,1,1,10,8,NA
180,https://www.naukri.com/job-listings-security-analyst-ibm-india-pvt-limited-bengaluru-0-to-1-years-100726914474?src=simjobsjd_rt,IBM,Security Analyst,0-1 years,2,5,8,1,1,1,1,1,10,8,NA
181,https://www.naukri.com/job-listings-security-engineer-cashfree-payments-bengaluru-0-to-3-years-180626021655?src=cluster&sid=17838732990648004_1&xp=9&px=1,Cashfree Payments,Security Engineer ,Fresher,8,5,7,6,1,3,2,1,10,8,NA
182,https://www.naukri.com/job-listings-security-analyst-l0-value-point-systems-bengaluru-0-to-1-years-180626506387?src=cluster&sid=17838732990648004_1&xp=11&px=1,ValuePoint,Security Analyst - L0,0–1 Years,1,6,6,1,4,1,1,1,10,8,NA
183,https://www.naukri.com/job-listings-security-research-engineer-intelligence-feed-secpod-technologies-pvt-ltd-bengaluru-0-to-1-years-210426502761?src=cluster&sid=17838732990648004_1&xp=14&px=1,SecPod Technologies,Security Research Engineer – Intelligence Feed,0–1 Years,5,5,7,1,1,1,1,1,10,8,NA
184,https://www.linkedin.com/jobs/view/4298392569/,SCG,Cloud Engineer – SCG India,0-3 years,5,7,7,9,9,4,3,2,6,7,NA
185,https://in.indeed.com/jobs?q=Information+Security+Analyst+Fresher&l=&from=searchOnHP&vjk=006d11ad7e5fe3b0,Accveil Solutions Pvt. Ltd.,Cyber Security Analyst – SIEM (Security Information and Event Management),0–3 Years,2,7,9,3,4,1,1,1,10,7,3.0-5.4
186,https://www.naukri.com/job-listings-devops-engineer-fresher-unthinkable-solutions-gurugram-0-to-1-years-240626010759?src=cluster&sid=17838778382483797_1&xp=4&px=1,Unthinkable Solutions,DevOps Engineer - Fresher,0–1 Years,6,9,6,9,5,10,10,8,3,8,NA
187,https://www.naukri.com/job-listings-devops-engineer-codinglimits-nellore-hyderabad-chennai-bengaluru-0-to-1-years-160626008117?src=simjobsjd_rt,Codinglimits Nellore,DevOps Engineer,Fresher,2,9,5,6,6,8,7,1,1,8,NA
188,https://www.naukri.com/job-listings-cloud-engineer-codinglimits-nellore-hyderabad-chennai-bengaluru-0-to-1-years-160626008366?src=simjobsjd_rt,Codinglimits Nellore,Cloud Engineer Fresher,Fresher,1,8,8,8,8,1,1,1,6,8,NA
189,https://www.naukri.com/job-listings-junior-devops-engineer-0-2-years-reizend-private-limited-thiruvananthapuram-0-to-2-years-250626006252?src=simjobsjd_rt,Reizend Private Limited,Junior DevOps Engineer,0–2 Years,3,7,9,10,1,10,10,6,7,8,4-6
190,https://www.naukri.com/job-listings-cloud-system-admin-devops-fresher-can-also-apply-vadodara-wovvtech-vadodara-0-to-3-years-070126014457?src=simjobsjd_rt,WovvTech,Cloud & System Admin (DevOps),0–3 Years,1,10,9,7,1,1,1,1,8,5,NA
191,https://www.naukri.com/job-listings-devops-engineer-fresher-inorg-global-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-1-years-100725505248?src=cluster&sid=17838778382483797_1&xp=5&px=1,Inorg,DevOps Engineer,Fresher,8,8,3,7,7,2,1,6,2,8,NA
192,https://www.naukri.com/job-listings-aws-devops-engineer-natwest-digital-services-india-pvt-ltd-chennai-bengaluru-0-to-3-years-090726923617?src=simjobsjd_rt,NatWest DigitalX,AWS DevOps Engineer,0–3 Years,3,6,6,10,1,9,9,1,8,7,NA
193,https://www.linkedin.com/jobs/view/4429005884/,CrimsonLogic,SOC Officer,0–2 Years,2,4,9,1,8,1,1,1,10,8,NA
194,https://www.linkedin.com/jobs/view/4408001053/,ECI,Security Operations Center Associate,0–1 Years,1,3,9,1,1,1,1,1,10,8,NA
195,https://www.linkedin.com/jobs/view/4439306966/,Fortuna Cysec,Security Analyst I,0–2 Years,1,3,7,1,1,1,1,1,10,8,NA
196,https://www.linkedin.com/jobs/view/4433514922/,FIS,"Analyst I, Cybersecurity",0–3 Years,1,9,2,1,1,1,1,1,10,8,NA
197,https://www.linkedin.com/jobs/view/4432143971/,eDOT Solutions,Junior Cybersecurity / Network Engineer — Maritime OT/IT Security,0–2 Years,8,7,10,1,1,1,1,1,10,7,NA
198,https://www.linkedin.com/jobs/view/4433322752/,Accelleron,SOC Analyst - Monitoring and Triage Specialist,0–3 Years,3,3,8,1,8,1,1,1,10,7,NA
199,https://www.linkedin.com/jobs/view/4438881959/,Meril,Cyber Security Analyst (SOC Analyst – Level 1),0–2 Years,1,4,9,1,1,1,1,1,10,8,NA
200,https://www.linkedin.com/jobs/view/4432218534/,Searce Inc,Cloud Operations Engineer,0-1 Years,7,8,8,7,7,1,1,6,8,8,NA
201,https://cloudsoftsol.com/jobs/graduate-site-reliability-engineer-flipkart-bengaluru-2026/,Flipkart (Walmart Group),Site Reliability Engineer,Fresher,9,10,9,1,1,4,10,8,2,7,18–28 LPA
202,https://cloudsoftsol.com/jobs/associate-site-reliability-engineer-razorpay-bengaluru-2026/,Razorpay,Associate Site Reliability Engineer,Fresher–2 Years,9,10,9,10,1,4,10,10,7,2,14–22 LPA
203,https://www.linkedin.com/posts/thinkwave-solution_emailabrid-activity-7482325970566238208-PXSA?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFzbsQYBc81s57VcJNsJTRfnE5hoOr8ujIA,ThinkWave Solution,Cyber Security Analyst,0–2 Years (Freshers can apply),1,3,8,1,1,1,1,1,10,5,NA
204,https://www.linkedin.com/jobs/view/4418151023/,NK Securities Research,Information & Security Engineer,0–5 Years,8,10,10,1,1,1,1,1,10,6,NA
205,https://cloudsoftsol.com/jobs/google-cloud-engineer-university-graduate-google-india-2026/,Google India,Google Cloud — Customer Engineer,Fresher–1 Year,8,4,8,4,4,2,8,7,4,10,22–34 LPA
206,https://cloudsoftsol.com/jobs/aws-cloud-support-associate-graduate-amazon-bengaluru-2026/,Amazon Web Services (AWS) India,AWS Cloud Support Associate,Fresher–1 Year,8,10,10,10,1,1,1,1,3,10,8–14 LPA
207,https://www.linkedin.com/jobs/view/4433942614/,HCLTech,Administrator (Support & Operations),Fresher,5,8,5,1,1,1,1,1,4,7,NA
208,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-ahmedabad-bhubaneswar-june-2026/,TCS,DevOps Engineer,Fresher – 1 Year,6,8,7,8,8,8,8,6,2,6,4–8 LPA
209,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-ahmedabad-bhubaneswar-june-2026/,Adani Digital,Site Reliability Engineer (SRE),Fresher – 1 Year,6,8,7,8,8,8,8,6,2,6,4–8 LPA
210,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-ahmedabad-bhubaneswar-june-2026/,Capgemini,DevOps Engineer,Fresher – 1 Year,6,8,7,8,8,8,8,6,2,6,4–8 LPA
211,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-ahmedabad-bhubaneswar-june-2026/,TCS,Site Reliability Engineer (SRE),Fresher – 1 Year,6,8,7,8,8,8,8,6,2,6,4–8 LPA
212,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-ahmedabad-bhubaneswar-june-2026/,Adani Digital,DevOps Engineer,Fresher – 1 Year,6,8,7,8,8,8,8,6,2,6,4–8 LPA
213,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-ahmedabad-bhubaneswar-june-2026/,Capgemini,Site Reliability Engineer (SRE),Fresher – 1 Year,6,8,7,8,8,8,8,6,2,6,4–8 LPA
214,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-ahmedabad-bhubaneswar-june-2026/,Cognizant,Site Reliability Engineer (SRE),Fresher – 1 Year,6,8,7,8,8,8,8,6,2,6,4–8 LPA
215,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-ahmedabad-bhubaneswar-june-2026/,Cognizant,DevOps Engineer,Fresher – 1 Year,6,8,7,8,8,8,8,6,2,6,4–8 LPA
216,https://cloudsoftsol.com/jobs/sre-devops-fresher-multi-city-mumbai-noida-june-2026/,Wipro,DevOps Engineer,Fresher – 1 Year,6,8,7,8,8,8,7,6,2,6,4–8 LPA
217,https://cloudsoftsol.com/jobs/sre-devops-fresher-multi-city-mumbai-noida-june-2026/,Tech Mahindra,Site Reliability Engineer (SRE),Fresher – 1 Year,6,8,7,8,8,8,7,6,2,6,4–8 LPA
218,https://cloudsoftsol.com/jobs/sre-devops-fresher-multi-city-mumbai-noida-june-2026/,Wipro,Site Reliability Engineer (SRE),Fresher – 1 Year,6,8,7,8,8,8,7,6,2,6,4–8 LPA
219,https://cloudsoftsol.com/jobs/sre-devops-fresher-multi-city-mumbai-noida-june-2026/,Tech Mahindra,DevOps Engineer,Fresher – 1 Year,6,8,7,8,8,8,7,6,2,6,4–8 LPA
220,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-south-india-chennai-bangalore-kerala-june-2026/,Innovature Labs,DevOps Engineer,Fresher – 1 Year,6,8,7,8,8,8,7,6,2,6,4.5–9 LPA
221,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-south-india-chennai-bangalore-kerala-june-2026/,Infosys,Site Reliability Engineer (SRE),Fresher – 1 Year,6,8,7,8,8,8,7,6,2,6,4.5–9 LPA
222,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-south-india-chennai-bangalore-kerala-june-2026/,Innovature Labs,Site Reliability Engineer (SRE),Fresher – 1 Year,6,8,7,8,8,8,7,6,2,6,4.5–9 LPA
223,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-south-india-chennai-bangalore-kerala-june-2026/,Infosys,DevOps Engineer,Fresher – 1 Year,6,8,7,8,8,8,7,6,2,6,4.5–9 LPA
224,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-south-india-chennai-bangalore-kerala-june-2026/,UST,DevOps Engineer,Fresher – 1 Year,6,8,7,8,8,8,7,6,2,6,4.5–9 LPA
225,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-south-india-chennai-bangalore-kerala-june-2026/,UST,Site Reliability Engineer (SRE),Fresher – 1 Year,6,8,7,8,8,8,7,6,2,6,4.5–9 LPA
226,https://cloudsoftsol.com/jobs/fresher-cloud-devops-engineer-gravitix-tech-hyderabad-june-2026/,Gravitix Tech,Cloud DevOps Engineer,Fresher – 1 Year,6,8,7,8,8,8,7,6,2,6,4–7 LPA
227,https://cloudsoftsol.com/jobs/analytical-brains-education-aws-devops-engineer-fresher-hyderabad-2026/,Analytical Brains Education Pvt Ltd,AWS DevOps Engineer,Fresher – 1 Year,7,9,6,10,7,9,9,9,2,8,3–6 LPA
228,https://cloudsoftsol.com/jobs/junior-devops-engineer-cloud-platform-wipro-hyderabad-2026/,Wipro Technologies,Junior DevOps Engineer,Fresher–2 Years,7,10,5,8,8,10,10,10,2,8,4–8 LPA
229,https://cloudsoftsol.com/jobs/gcp-associate-cloud-engineer-searce-pune-2026/,Searce Inc,Associate Cloud Engineer,Fresher–2 Years,8,6,7,1,1,3,8,9,1,9,6–10 LPA
230,https://cloudsoftsol.com/jobs/associate-cloud-engineer-aws-track-tcs-fresher-2026/,Tata Consultancy Services (TCS),Associate Cloud Engineer — AWS Track,Fresher–1 Year,7,8,6,10,1,1,1,1,3,8,4–7 LPA
231,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-pune-vizag-coimbatore-june-2026/,Persistent,DevOps Engineer,Fresher–1 Year,6,8,7,8,8,8,8,6,2,6,4–8.5 LPA
232,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-pune-vizag-coimbatore-june-2026/,Robert Bosch,DevOps Engineer,Fresher–1 Year,6,8,7,8,8,8,8,6,2,6,4–8.5 LPA
233,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-pune-vizag-coimbatore-june-2026/,Zensar,DevOps Engineer,Fresher–1 Year,6,8,7,8,8,8,8,6,2,6,4–8.5 LPA
234,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-pune-vizag-coimbatore-june-2026/,Persistent,Site Reliability Engineer (SRE),Fresher–1 Year,6,8,7,8,8,8,8,6,2,6,4–8.5 LPA
235,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-pune-vizag-coimbatore-june-2026/,Robert Bosch,Site Reliability Engineer (SRE),Fresher–1 Year,6,8,7,8,8,8,8,6,2,6,4–8.5 LPA
236,https://cloudsoftsol.com/jobs/devops-sre-fresher-multi-city-pune-vizag-coimbatore-june-2026/,Zensar,Site Reliability Engineer (SRE),Fresher–1 Year,6,8,7,8,8,8,8,6,2,6,4–8.5 LPA
237,https://www.linkedin.com/jobs/view/4422403787/,Falkonry,Systems Software Engineer,Fresher,7,10,9,8,8,9,9,6,6,7,NA
238,https://www.naukri.com/job-listings-cloud-consultant-ti-steps-hyderabad-chennai-bengaluru-0-to-2-years-300825009785?src=jobsearchDesk&sid=17842240658592862_1&xp=5&px=1&nignbevent_src=jobsearchDeskGNB,ti Steps,Cloud Consultant,0–2 Years,1,1,3,2,2,1,1,1,1,10,3–4 LPA
239,https://www.naukri.com/job-listings-platform-reliability-engineer-ti-steps-hyderabad-chennai-bengaluru-0-to-2-years-151025018260?src=simjobsjd_rt,ti Steps,Platform Reliability Engineer,0–2 Years,3,8,7,7,7,4,10,4,1,6,1–3 LPA
240,https://www.naukri.com/job-listings-cloud-engineer-freshers-pragma-edge-software-services-private-limited-hyderabad-0-to-2-years-280423501300?src=jobsearchDesk&sid=17842240658592862_1&xp=8&px=1&nignbevent_src=jobsearchDeskGNB,Pragma Edge Software Services,Cloud Engineer Associate,0–2 Years,1,8,7,10,1,7,6,1,2,8,NA
241,https://www.naukri.com/job-listings-junior-analyst-cyber-risk-unit-bajaj-finance-limited-pune-0-to-1-years-150726933253?src=drecomm_profile&sid=17843068879803210&xp=1&px=1,Bajaj Finance,Junior Analyst - Cyber Risk Unit,0–1 Years,1,2,7,1,1,1,1,1,9,8,NA
242,https://www.naukri.com/job-listings-graduate-engineer-trainee-cloud-ai-v5-techsol-bengaluru-0-to-1-years-130726015097?src=drecomm_profile&sid=17843068879803210&xp=49&px=1,V5 TechSol,Graduate Engineer Trainee (Cloud & AI),0–1 Years,6,7,7,8,8,1,1,1,2,7,NA
243,https://www.linkedin.com/jobs/view/4441191372/,Innomax IT Solutions Pvt. Ltd.,AWS Cloud Engineer,0–1 Years,5,7,7,9,1,1,1,1,2,7,NA
244,https://www.linkedin.com/jobs/view/4440995637/,Hyland,Associate Cloud Specialist,Entry-Level / Associate,1,4,7,1,1,1,1,1,3,7,NA
245,https://www.linkedin.com/jobs/view/4439215325/,SLB,Associate Cloud Engineer,Fresher,4,5,6,8,8,1,1,1,7,6,NA
246,https://www.linkedin.com/jobs/view/4425481444/,Signant Health,Cloud Operations Engineer - Technology IT,Fresher,2,7,7,1,9,1,5,1,4,8,NA
247,https://www.linkedin.com/jobs/view/4419441160/,Upwind Security,Junior Cloud Security Validation Engineer,Fresher,8,9,9,8,7,8,8,7,10,3,NA
248,https://www.linkedin.com/jobs/view/4441190631/,DigitalOcean,Associate Cloud Support Engineer,Fresher,7,9,9,4,4,8,8,8,2,8,NA
249,https://www.linkedin.com/jobs/view/4441190168/,VENISO,DevOps Engineer,Fresher,1,9,6,2,1,9,5,4,2,5,NA
250,https://www.linkedin.com/jobs/view/4133244935/,Thoucentric,Platform Engineer,Fresher,8,8,6,7,7,8,8,5,2,7,NA
251,https://in.indeed.com/viewjob?jk=3c4fd98b44009b86,Kognito Kube Private Limited,DevOps Engineer,Fresher,8,9,8,8,7,9,9,8,7,8,NA
252,https://www.linkedin.com/jobs/view/4437959898/?alternateChannel=search&trackingId=...,EFICIYENT,Junior Security Analyst,Fresher,6,4,8,1,1,1,1,1,10,8,NA
253,https://cloudsoftsol.com/jobs/zyphra-tech-cloud-devops-engineer-fresher-hyderabad-2026/	,Zyphra Tech	,Cloud DevOps Engineer,Fresher,7,9,8,9,8,9,8,8,3,8,4-6
